,Player,Mat,Inns,Runs,Ave,SR,100,50
1,SR Tendulkar (INDIA),463,452,18426,44.83,86.23,49,96
2,KC Sangakkara (Asia/ICC/SL),404,380,14234,41.98,78.86,25,93
3,RT Ponting (AUS/ICC),375,365,13704,42.03,80.39,30,82
4,ST Jayasuriya (Asia/SL),445,433,13430,32.36,91.2,28,68
5,DPMD Jayawardene (Asia/SL),448,418,12650,33.37,78.96,19,77
6,Inzamam-ul-Haq (Asia/PAK),378,350,11739,39.52,74.24,10,83
7,V Kohli (INDIA),242,233,11609,59.84,93.28,43,55
8,JH Kallis (Afr/ICC/SA),328,314,11579,44.36,72.89,17,86
9,SC Ganguly (Asia/INDIA),311,300,11363,41.02,73.7,22,72
10,R Dravid (Asia/ICC/INDIA),344,318,10889,39.16,71.24,12,83
11,MS Dhoni (Asia/INDIA),350,297,10773,50.57,87.56,10,73
12,CH Gayle (ICC/WI),301,294,10480,37.83,87.19,25,54
13,BC Lara (ICC/WI),299,289,10405,40.48,79.51,19,63
14,TM Dilshan (SL),330,303,10290,39.27,86.23,22,47
15,Mohammad Yousuf (Asia/PAK),288,273,9720,41.71,75.1,15,64
16,AC Gilchrist (AUS/ICC),287,279,9619,35.89,96.94,16,55
17,AB de Villiers (Afr/SA),228,218,9577,53.5,101.09,25,53
18,M Azharuddin (INDIA),334,308,9378,36.92,74.02,7,58
19,PA de Silva (SL),308,296,9284,34.9,81.13,11,64
20,RG Sharma (INDIA),221,214,8944,49.14,88.88,28,43
21,Saeed Anwar (PAK),247,244,8824,39.21,80.67,20,43
22,S Chanderpaul (WI),268,251,8778,41.6,70.74,11,59
23,Yuvraj Singh (Asia/INDIA),304,278,8701,36.55,87.67,14,52
24,DL Haynes (WI),238,237,8648,41.37,63.09,17,57
25,MS Atapattu (SL),268,259,8529,37.57,67.72,11,59
26,ME Waugh (AUS),244,236,8500,39.35,76.9,18,50
27,LRPL Taylor (NZ),228,212,8376,47.86,83,20,50
28,V Sehwag (Asia/ICC/INDIA),251,245,8273,35.05,104.33,15,38
29,HM Amla (SA),181,178,8113,49.46,88.39,27,39
30,HH Gibbs (SA),248,240,8094,36.13,83.26,21,37
31,Shahid Afridi (Asia/ICC/PAK),398,369,8064,23.57,117,6,39
32,SP Fleming (ICC/NZ),280,269,8037,32.4,71.49,8,49
33,MJ Clarke (AUS),245,223,7981,44.58,78.98,8,58
34,SR Waugh (AUS),325,288,7569,32.9,75.91,3,45
